ADD-S,ADD-S AUC,fra_cert,class_name
10.0,25.172945022583008,4.0,airplane
2.0,7.415801048278809,2.0,bathtub
0.0,6.724098205566406,0.0,bed
38.0,31.936800003051758,40.0,bottle
24.0,37.783199310302734,42.0,cap
12.0,20.54111671447754,2.0,car
22.0,26.65265464782715,18.0,chair
48.0,51.76911163330078,30.0,guitar
8.0,21.24273681640625,6.0,helmet
80.0,75.04608154296875,10.0,knife
2.0,10.810892105102539,2.0,laptop
22.0,41.257789611816406,4.0,motorcycle
22.0,23.770708084106445,10.0,mug
22.0,32.43685531616211,8.0,skateboard
30.0,32.06949996948242,30.0,table
12.0,38.32247543334961,2.0,vessel
